meterName;armSkuName;tier;size;family;MemoryPreservingMaintenanceSupported;HyperVGenerations;CpuArchitectureType;LowPriorityCapable;PremiumIO;ACUs;EphemeralOSDiskSupported;EncryptionAtHostSupported;CapacityReservationSupported;AcceleratedNetworkingEnabled;RdmaEnabled;MaxNetworkInterfaces;UltraSSDAvailable;unit;os;unitPricePerUnit
E16as v5 Low Priority;Standard_E16as_v5;Standard;E16as_v5;standardEASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;0,13962
D16s v5;Standard_D16s_v5;Standard;D16s_v5;standardDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,6188
G3/GS3 Low Priority;Standard_G3;Standard;G3;standardGFamily;FALSE;V1;x64;TRUE;FALSE;180;FALSE;FALSE;FALSE;FALSE;FALSE;4;null;10;Windows;0,741
E64s v4;Standard_E64s_v4;Standard;E64s_v4;standardESv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Linux;3,094
E2ds v4 Low Priority;Standard_E2ds_v4;Standard;E2ds_v4;standardEDSv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;1000;Windows;0,070447
NV24s v3 Low Priority;Standard_NV24s_v3;Standard;NV24s_v3;standardNVSv3Family;FALSE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Windows;0,9347
E4 v3/E4s v3 Low Priority;Standard_E4_v3;Standard;E4_v3;standardEv3Family;TRUE;V1;x64;TRUE;FALSE;160;FALSE;FALSE;TRUE;TRUE;FALSE;2;null;10;Windows;0,0416
E2ds v5 Low Priority;Standard_E2ds_v5;Standard;E2ds_v5;standardEDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;1000;Windows;0,070447
D4a v4/D4as v4;Standard_D4a_v4;Standard;D4a_v4;standardDAv4Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;2;null;100;Windows;0,1547
D8plds v5;Standard_D8plds_v5;Standard;D8plds_v5;standardDPLDSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;4;TRUE;100;Linux;0,2652
E48bs v5;Standard_E48bs_v5;Standard;E48bs_v5;standardEBSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;4,2926
L8s v2;Standard_L8s_v2;Standard;L8s_v2;standardLSv2Family;FALSE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;2;TRUE;100;Windows;0,7293
E104i v5;Standard_E104i_v5;Standard;E104i_v5;standardEIv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Linux;5,5302
D48 v5;Standard_D48_v5;Standard;D48_v5;standardDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Linux;1,8564
D4ds v5;Standard_D4ds_v5;Standard;D4ds_v5;standardDDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;100;Linux;0,18369
L80s v3;Standard_L80s_v3;Standard;L80s_v3;standardLSv3Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;7,8455
M64 Low Priority;Standard_M64;Standard;M64;standardMSFamily;FALSE;V1,V2;x64;TRUE;TRUE;160;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Windows;3,2084
E32-16ads v5 Low Priority;Standard_E32-16ads_v5;Standard;E32-16ads_v5;standardEADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,32747
E16-8s v4 Low Priority;Standard_E16-8s_v4;Standard;E16-8s_v4;standardESv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;0,51246
